Title,Authors,URL,Models,accuracy,precision,recall,f1,rmse,mse,bleu,auc,rouge
{NCL} Team at {S}em{E}val-2024 Task 3: Fusing Multimodal Pre-training Embeddings for Emotion Cause Prediction in Conversations,"Li, Shu  and
Liao, Zicen  and
Liang, Huizhi",https://aclanthology.org/2024.semeval-1.44,,,,,,,2022.0,,,
{T}rans{M}istral at {S}em{E}val-2024 Task 10: Using Mistral 7{B} for Emotion Discovery and Reasoning its Flip in Conversation,"Siino, Marco",https://aclanthology.org/2024.semeval-1.46,"Transformers, SVM, Transformer, ensemble, GPT, xlnet, CNN, GPT-3, lstm, bert",,1.0,,0.78,,,,,
{TW}-{NLP} at {S}em{E}val-2024 Task10: Emotion Recognition and Emotion Reversal Inference in Multi-Party Dialogues.,"Tian, Wei  and
Ji, Peiyu  and
Zhang, Lei  and
Jian, Yue",https://aclanthology.org/2024.semeval-1.48,"Transformers, Transformer, LSTM, xlnet, BERT+COFFEE(Kumar, XGBoost, BERT+COFFEE, RoBERTa, BERT, GRU",,,,0.15,,,,,
{UWBA} at {S}em{E}val-2024 Task 3: Dialogue Representation and Multimodal Fusion for Emotion Cause Analysis,"Baloun, Josef  and
Martinek, Jiri  and
Lenc, Ladislav  and
Kral, Pavel  and
Zeman, Mat{\v{e}}j  and
Vl{\v{c}}ek, Luk{\'a}{\v{s}}",https://aclanthology.org/2024.semeval-1.49,"transformer, cnns, LSTM, roberta, transformers, CNN, BERT, bert-, transformer-",,,,,,,,,
{GAV}x at {S}em{E}val-2024 Task 10: Emotion Flip Reasoning via Stacked Instruction Finetuning of {LLM}s,"Nguyen, Vy  and
Zhang, Xiuzhen",https://aclanthology.org/2024.semeval-1.50,"transformer, GPT-4, GPT, transformers, GPT-3, GPT-3.5, GRUs, BERT",0.0,,,0.0,,1.0,,,
{QFNU}{\_}{CS} at {S}em{E}val-2024 Task 3: A Hybrid Pre-trained Model based Approach for Multimodal Emotion-Cause Pair Extraction Task,"Wang, Zining  and
Zhao, Yanchao  and
Han, Guanghui  and
Song, Yang",https://aclanthology.org/2024.semeval-1.53,"Bert(Devlin, Transformer, LSTM, LSTM(Yu, transformers, Transformer).BiLSTM, CNN, BERT",,,,0.1786,,,,,
Hidetsune at {S}em{E}val-2024 Task 3: A Simple Textual Approach to Emotion Classification and Emotion Cause Analysis in Conversations Using Machine Learning and Next Sentence Prediction,"Takahashi, Hidetsune",https://aclanthology.org/2024.semeval-1.55,"BERT, Transformers",,,,0.1288,,,,,
{CLT}eam1 at {S}em{E}val-2024 Task 10: Large Language Model based ensemble for Emotion Detection in {H}inglish,"Vaidya, Ankit  and
Gokhale, Aditya  and
Desai, Arnav  and
Shukla, Ishaan  and
Sonawane, Sheetal",https://aclanthology.org/2024.semeval-1.56,"transformer, SVM, ensemble, LSTM, ensembles, transformers, CNN, BERT, RNN, RoBERTA",,,,,,,,,
Hidetsune at {S}em{E}val-2024 Task 10: An {E}nglish Based Approach to Emotion Recognition in {H}indi-{E}nglish code-mixed Conversations Using Machine Learning and Machine Translation,"Takahashi, Hidetsune",https://aclanthology.org/2024.semeval-1.58,"transformer, BERT",,,,0.39,,,,,
{L}inguis{T}ech at {S}em{E}val-2024 Task 10: Emotion Discovery and Reasoning its Flip in Conversation,"Alexandru, Mihaela  and
Ciocoiu, C{\u{a}}lina  and
M{\u{a}}niga, Ioana  and
Ungureanu, Octavian  and
G{\^\i}fu, Daniela  and
Trand{\u{a}}b{\u{a}}{\textcommabelow{t}}, Diana",https://aclanthology.org/2024.semeval-1.64,"transformer, transformers, RoBERTa, BERT, bert-",,,,,,,,,
{S}amsung Research {C}hina-{B}eijing at {S}em{E}val-2024 Task 3: A multi-stage framework for Emotion-Cause Pair Extraction in Conversations,"Zhang, Shen  and
Zhang, Haojie  and
Zhang, Jing  and
Zhang, Xudong  and
Zhuang, Yimeng  and
Wu, Jinting",https://aclanthology.org/2024.semeval-1.81,"Ensemble, GPT-4, Transformer, LSTM, cnns, xlnet, transformers, Transformer-, RNN, RoBERTa, BERT, GRU",,,,,,2022.0,,,
{SSN}{\_}{S}emeval10 at {S}em{E}val-2024 Task 10: Emotion Discovery and Reasoning its Flip in Conversations,"Rajesh, Antony  and
Abirami, Supriya  and
Chandrabose, Aravindan  and
Kumar, Senthil",https://aclanthology.org/2024.semeval-1.83,"transformer, ensemble, BERT-, transformers, LSTMs, CNNs, RNNs, BERT, GPT-2",,,,,,,,,
Innovators at {S}em{E}val-2024 Task 10: Revolutionizing Emotion Recognition and Flip Analysis in Code-Mixed Texts,"Shanbhag, Abhay  and
Jadhav, Suramya  and
Rathi, Shashank  and
Pande, Siddhesh  and
Kadam, Dipali",https://aclanthology.org/2024.semeval-1.93,"transformer, SVM, ensemble, SVMs, transformers, CNN, LSTMs, CNNs, BERT, Roberta, transformer-",,,,0.2688,,,,,
{ISDS}-{NLP} at {S}em{E}val-2024 Task 10: Transformer based neural networks for emotion recognition in conversations,"Creanga, Claudiu  and
Dinu, Liviu P.",https://aclanthology.org/2024.semeval-1.95,"Transformer, roberta, BERT-, GPT, transformers, LSTM, BERT",,,,,,,,,
{MIPS} at {S}em{E}val-2024 Task 3: Multimodal Emotion-Cause Pair Extraction in Conversations with Multimodal Language Models,"Cheng, Zebang  and
Niu, Fuqiang  and
Lin, Yuxiang  and
Cheng, Zhi-qi  and
Peng, Xiaojiang  and
Zhang, Bowen",https://aclanthology.org/2024.semeval-1.97,"Transformer, transformers, RoBERTa, BERT, Cnn, XLNet",,,,,,,,,
{UMUT}eam at {S}em{E}val-2024 Task 10: Discovering and Reasoning about Emotions in Conversation using Transformers,"Pan, Ronghao  and
Garc{\'\i}a-d{\'\i}az, Jos{\'e} Antonio  and
Rold{\'a}n, Diego  and
Valencia-garc{\'\i}a, Rafael",https://aclanthology.org/2024.semeval-1.101,"Transformers, Transformer, RNN, RoBERTa-, RoBERTa, BERT, Transformers-",,,,,,,,,
{SSN}{\_}{ARMM} at {S}em{E}val-2024 Task 10: Emotion Detection in Multilingual Code-Mixed Conversations using {L}inear{SVC} and {TF}-{IDF},"Arumugam, Rohith  and
Deborah, Angel  and
Sivanaiah, Rajalakshmi  and
R S, Milton  and
Thankanadar, Mirnalinee",https://aclanthology.org/2024.semeval-1.105,"BERT, CNN, LSTM, transformer",,,,,,,,,
{F}eed{F}orward at {S}em{E}val-2024 Task 10: Trigger and sentext-height enriched emotion analysis in multi-party conversations,"Shaik, Zuhair Hasan  and
Prasanna, Dhivya  and
Jahnavi, Enduri  and
Thippireddy, Rishi  and
Madhav, Vamsi  and
Saumya, Sunil  and
Biradar, Shankar",https://aclanthology.org/2024.semeval-1.107,"transformer, Ensemble, roberta, transformers, BERT",,,,,,,,,
{TECHSSN} at {S}em{E}val-2024 Task 10: {LSTM}-based Approach for Emotion Detection in Multilingual Code-Mixed Conversations,"V, Ravindran  and
Babu G, Shreejith  and
Jetti, Aashika  and
Sivanaiah, Rajalakshmi  and
Deborah, Angel  and
Thankanadar, Mirnalinee  and
R S, Milton",https://aclanthology.org/2024.semeval-1.109,"Transformer, LSTM, ensemble, transformers, LSTMs, CNNs, RoBERTa, RNNs, BERT",,,,0.36,,,,,
{UIR}-{ISC} at {S}em{E}val-2024 Task 3: Textual Emotion-Cause Pair Extraction in Conversations,"Guo, Hongyu  and
Zhang, Xueyao  and
Chen, Yiyang  and
Deng, Lin  and
Li, Binyang",https://aclanthology.org/2024.semeval-1.110,"Transformer, transformers, BERT(t, RoBERTa, BERT",,,,,,,,,
{YNU}-{HPCC} at {S}em{E}val-2024 Task10: Pre-trained Language Model for Emotion Discovery and Reasoning its Flip in Conversation,"Liang, Chenyi  and
Wang, Jin  and
Zhang, Xuejie",https://aclanthology.org/2024.semeval-1.111,"transformer, SVM, LSTM, transformers, Transformer-, CNNs, BERT",,,,,,,,,
{BITS} Pilani at {S}em{E}val-2024 Task 10: Fine-tuning {BERT} and Llama 2 for Emotion Recognition in Conversation,"Venkatesh, Dilip  and
Prasanjith, Pasunti  and
Sharma, Yashvardhan",https://aclanthology.org/2024.semeval-1.115,"transformer, GPT-4, Transformers, GPT-3, RNNs, BERT, rnn, bert-",,,,,,,,,
{TECHSSN}1 at {S}em{E}val-2024 Task 10: Emotion Classification in {H}indi-{E}nglish Code-Mixed Dialogue using Transformer-based Models,"Yenumulapalli, Venkatasai Ojus  and
Premnath, Pooja  and
Mohankumar, Parthiban  and
Sivanaiah, Rajalakshmi  and
Deborah, Angel",https://aclanthology.org/2024.semeval-1.119,"KNN, SVM, Transformer, LSTM, BERT-, Transformers, ensemble, CNN, Transformer-, RoBERTa, BERT",,,,0.45,,,,,
{RACAI} at {S}em{E}val-2024 Task 10: Combining algorithms for code-mixed Emotion Recognition in Conversation,"Ni{\textcommabelow{t}}{\u{a}}, Sara  and
P{\u{a}}i{\textcommabelow{s}}, Vasile",https://aclanthology.org/2024.semeval-1.149,"transformer, ensemble, BERT-, BERT",,,,,,,,,
{PWEITINLP} at {S}em{E}val-2024 Task 3: Two Step Emotion Cause Analysis,"Levchenko, Sofiia  and
Wolert, Rafa{\l}  and
Andruszkiewicz, Piotr",https://aclanthology.org/2024.semeval-1.159,"GPT-4, Transformer, transformers, GPT-3, BERT",,0.52,,,,,,,
{P}et{K}az at {S}em{E}val-2024 Task 3: Advancing Emotion Classification with an {LLM} for Emotion-Cause Pair Extraction in Conversations,"Kazakov, Roman  and
Petukhova, Kseniia  and
Kochmar, Ekaterina",https://aclanthology.org/2024.semeval-1.164,"GPT-4, LSTM, gpt-3, GPT-3.5, GPT-3.5.3, bert",,,,,,,,,
{L}ast{R}esort at {S}em{E}val-2024 Task 3: Exploring Multimodal Emotion Cause Pair Extraction as Sequence Labelling Task,"Mathur, Suyash Vardhan  and
Jindal, Akshett  and
Mittal, Hardik  and
Shrivastava, Manish",https://aclanthology.org/2024.semeval-1.175,"BERT, lstm, transformers, RoBERTa",,,,,,,,,
{M}orphing{M}inds at {S}em{E}val-2024 Task 10: Emotion Recognition in Conversation in {H}indi-{E}nglish Code-Mixed Conversations,"Vyas, Monika",https://aclanthology.org/2024.semeval-1.177,"transformer, SVM, ensemble, LSTM, CNN, SVM-, RoBERTa, BERT",,0.2,0.2,0.25,,,,,
{IASBS} at {S}em{E}val-2024 Task 10: Delving into Emotion Discovery and Reasoning in Code-Mixed Conversations,"Tareh, Mehrzad  and
Mohandesi, Aydin  and
Ansari, Ebrahim",https://aclanthology.org/2024.semeval-1.179,"transformer, GPT-4, SVM, KNN, ensemble, transformers, lstm, BERT, transformer-",,,,,,,,,
{L}y{S} at {S}em{E}val-2024 Task 3: An Early Prototype for End-to-End Multimodal Emotion Linking as Graph-Based Parsing,"Ezquerro, Ana  and
Vilares, David",https://aclanthology.org/2024.semeval-1.182,"Transformer, LSTM, transformers, LSTM−1, RoBERTa, BERT, transformer-",,,,,,,,,
{V}erba{N}ex{AI} Lab at {S}em{E}val-2024 Task 10: Emotion recognition and reasoning in mixed-coded conversations based on an {NRC} {VAD} approach,"Garcia, Santiago  and
Martinez, Elizabeth  and
Cuadrado, Juan  and
Martinez-santos, Juan  and
Puertas, Edwin",https://aclanthology.org/2024.semeval-1.192,"Transformer, roberta, GPT, transformers, GRUs, GRU",,,,,,,,,
{V}erba{N}ex{AI} Lab at {S}em{E}val-2024 Task 3: Deciphering emotional causality in conversations using multimodal analysis approach,"Pacheco, Victor  and
Martinez, Elizabeth  and
Cuadrado, Juan  and
Martinez Santos, Juan Carlos  and
Puertas, Edwin",https://aclanthology.org/2024.semeval-1.193,"transformer, transformers, RoBERTa",,0.0,,,,,,,
{UIC} {NLP} {GRADS} at {S}em{E}val-2024 Task 3: Two-Step Disjoint Modeling for Emotion-Cause Pair Extraction,"Chandakacherla, Sharad  and
Bhargava, Vaibhav  and
Parde, Natalie",https://aclanthology.org/2024.semeval-1.198,"transformer, LSTM, transformers, RoBERTa, BERT",,0.28,0.431,,,,,,
{UCSC} {NLP} at {S}em{E}val-2024 Task 10: Emotion Discovery and Reasoning its Flip in Conversation ({ED}i{R}e{F}),"Wan, Neng  and
Au, Steven  and
Ubale, Esha  and
Krogh, Decker",https://aclanthology.org/2024.semeval-1.214,"transformer, BERT+GRU, transformers, GRU+BERT, GRUs, BERT, GRU",0.67,,,,,,,,
{NUS}-Emo at {S}em{E}val-2024 Task 3: Instruction-Tuning {LLM} for Multimodal Emotion-Cause Analysis in Conversations,"Luo, Meng  and
Zhang, Han  and
Wu, Shengqiong  and
Li, Bobo  and
Han, Hong  and
Fei, Hao",https://aclanthology.org/2024.semeval-1.226,"transformer, Transformers, GPT-4V, Gpt-4, GPT-3, gpt, GPT-3.5, GPT-175B",,,,,,,,,
{AIMA} at {S}em{E}val-2024 Task 3: Simple Yet Powerful Emotion Cause Pair Analysis,"Ghahramani Kure, Alireza  and
Dehghani, Mahshid  and
Abootorabi, Mohammad Mahdi  and
Ghazizadeh, Nona  and
Dalili, Seyed Arshan  and
Asgari, Ehsaneddin",https://aclanthology.org/2024.semeval-1.243,"Transformer, transformers, Transformer-, RoBERTa, BERT",,,0.2018,,,,,,
{AIMA} at {S}em{E}val-2024 Task 10: History-Based Emotion Recognition in {H}indi-{E}nglish Code-Mixed Conversations,"Abootorabi, Mohammad Mahdi  and
Ghazizadeh, Nona  and
Dalili, Seyed Arshan  and
Ghahramani Kure, Alireza  and
Dehghani, Mahshid  and
Asgari, Ehsaneddin",https://aclanthology.org/2024.semeval-1.244,"transformer, Transformers, ensemble, GPT, GRU-, RoBERTa, GRUs, GPT-3.5, BERT, rnn, GRU",,,0.2662,0.408,,,,,
{D}eep{P}avlov at {S}em{E}val-2024 Task 3: Multimodal Large Language Models in Emotion Reasoning,"Belikova, Julia  and
Kosenko, Dmitrii",https://aclanthology.org/2024.semeval-1.249,"transformer, bert",0.3505,,,,,,,,
{IITK} at {S}em{E}val-2024 Task 10: Who is the speaker? Improving Emotion Recognition and Flip Reasoning in Conversations via Speaker Embeddings,"Patel, Shubham  and
Shukla, Divyaksh  and
Modi, Ashutosh",https://aclanthology.org/2024.semeval-1.256,"transformer, ensemble, transformers, CNN, GRUs, BERT, GRU",,,0.74,,,,,,
{S}em{E}val 2024 - Task 10: Emotion Discovery and Reasoning its Flip in Conversation ({ED}i{R}e{F}),"Kumar, Shivani  and
Akhtar, Md. Shad  and
Cambria, Erik  and
Chakraborty, Tanmoy",https://aclanthology.org/2024.semeval-1.270,"transformer, SVM, GPT-4, Ensemble, LSTM, GPT, RNNs, Transformers, GRUs, XGBoost, xlnet, LSTMs, RNN, RoBERTa, BERT, GRU",,,,0.7,,,,,
{S}em{E}val-2024 Task 3: Multimodal Emotion Cause Analysis in Conversations,"Wang, Fanfan  and
Ma, Heqing  and
Xia, Rui  and
Yu, Jianfei  and
Cambria, Erik",https://aclanthology.org/2024.semeval-1.277,"ensemble, Transformer, BERT-, GPT, transformers, GPT-4V, gpt-4, RNN, GPT-3, GPT-3.5, RoBERTa, BERT",,,,,,,,,
{S}arc{E}mp - Fine-tuning {D}ialo{GPT} for Sarcasm and Empathy,"Rizwan, Mohammed",https://aclanthology.org/2024.scichat-1.6,"transformer, GPT-2, GPT, RNN",,,,,,,,,
Emo-Gen {BART} - A Multitask Emotion-Informed Dialogue Generation Framework,"Debnath, Alok  and
Graham, Yvette  and
Conlan, Owen",https://aclanthology.org/2024.scichat-1.7,"BERT, LSTM",,,,,,,,,
"Multi-Dimensional Insights: Annotated Dataset of Stance, Sentiment, and Emotion in {F}acebook Comments on {T}unisia{'}s {J}uly 25 Measures","Laabar, Sanaa  and
Zaghouani, Wajdi",https://aclanthology.org/2024.politicalnlp-1.3,"ensemble, CNN",,,,,,,,,
Automated Emotion Annotation of {F}innish Parliamentary Speeches Using {GPT}-4,"Tarkka, Otto  and
Koljonen, Jaakko  and
Korhonen, Markus  and
Laine, Juuso  and
Martiskainen, Kristian  and
Elo, Kimmo  and
Laippala, Veronika",https://aclanthology.org/2024.parlaclarin-1.11,"transformer, GPT-4, GPT, transformers, GPT-, GPT-3.5, BERT",,,,0.411,,,,,
Language Models (Mostly) Do Not Consider Emotion Triggers When Predicting Emotion,"Singh, Smriti  and
Caragea, Cornelia  and
Li, Junyi Jessy",https://aclanthology.org/2024.naacl-short.51,"transformer, Transformers, GPT-4, RoBERTa, BERT",,,,,,,,,
Improved Text Emotion Prediction Using Combined Valence and Arousal Ordinal Classification,"Mitsios, Michail  and
Vamvoukakis, Georgios  and
Maniati, Georgia  and
Ellinas, Nikolaos  and
Dimitriou, Georgios  and
Markopoulos, Konstantinos  and
Kakoulidis, Panos  and
Vioni, Alexandra  and
Christidou, Myrsini  and
Oh, Junkwang  and
Jho, Gunu  and
Hwang, Inchul  and
Vardaxoglou, Georgios  and
Chalamandaris, Aimilios  and
Tsiakoulis, Pirros  and
Raptis, Spyros",https://aclanthology.org/2024.naacl-short.72,"transformer, RoBERTA, transformers, CNN, RoBERTa-, BERT, XLNet",0.12,,,,,,,,
{T}el{ME}: Teacher-leading Multimodal Fusion Network for Emotion Recognition in Conversation,"Yun, Taeyang  and
Lim, Hyunkuk  and
Lee, Jeonghwan  and
Song, Min",https://aclanthology.org/2024.naacl-long.5,"transformer, Transformers, RNNs, bert, rnn, Roberta",,,,,,66.76,,,
The Colorful Future of {LLM}s: Evaluating and Improving {LLM}s as Emotional Supporters for Queer Youth,"Lissak, Shir  and
Calderon, Nitay  and
Shenkman, Geva  and
Ophir, Yaakov  and
Fruchter, Eyal  and
Brunstein Klomek, Anat  and
Reichart, Roi",https://aclanthology.org/2024.naacl-long.113,"transformer, GPT-4, GPT, GPT+G, RoBERTa, bert",,,,,,,,,
My Heart Skipped a Beat! Recognizing Expressions of Embodied Emotion in Natural Language,"Zhuang, Yuan  and
Jiang, Tianyu  and
Riloff, Ellen",https://aclanthology.org/2024.naacl-long.193,"Transformers, LSTM, BERT∗, BERT, BERT†",,,,,,,,,
{``}You are an expert annotator{''}: Automatic Best{--}Worst-Scaling Annotations for Emotion Intensity Modeling,"Bagdon, Christopher  and
Karmalkar, Prathamesh  and
Gurulingappa, Harsha  and
Klinger, Roman",https://aclanthology.org/2024.naacl-long.439,"transformer, GPT, GPT-, roberta-, GPT-3.5-, GPT-3, GPT-3.5, RoBERTa, bert, transformer-",,,,,,,,,
Fluid Dynamics-Inspired Emotional Analysis in {S}hakespearean Tragedies: A Novel Computational Linguistics Methodology,"Picca, Davide",https://aclanthology.org/2024.mathnlp-1.2,GPT,,,,,,,,,
How to Annotate Emotions in Historical {I}talian Novels: A Case Study on {I} Promessi Sposi,"Sprugnoli, Rachele  and
Redaelli, Arianna",https://aclanthology.org/2024.lt4hala-1.13,RoBERTa,0.5,,,,,,,,
Early {M}odern {D}utch Comedies and Farces in the Spotlight: Introducing {E}m{DC}om{F} and Its Emotion Framework,"Debaene, Florian  and
van der Haven, Kornee  and
Hoste, Veronique",https://aclanthology.org/2024.lt4hala-1.17,"transformer, BERT",,,,0.68,1989.0,,,,
{T}artu{NLP} at {E}va{L}atin 2024: Emotion Polarity Detection,"Dorkin, Aleksei  and
Sirts, Kairit",https://aclanthology.org/2024.lt4hala-1.26,"BERT, GPT-4, transformers, RoBERTa",,,,,,,,,
{A}cn{E}mpathize: A Dataset for Understanding Empathy in Dermatology Conversations,"Lee, Gyeongeun  and
Parde, Natalie",https://aclanthology.org/2024.lrec-main.13,"transformer, Transformers, RoBERTa, BERT, transformer-",,,,,,,,,
Appraisal Framework for Clinical Empathy: A Novel Application to Breaking Bad News Conversations,"Lahnala, Allison Claire  and
Neuendorf, B{\'e}la  and
Thomin, Alexander  and
Welch, Charles  and
Stibane, Tina  and
Flek, Lucie",https://aclanthology.org/2024.lrec-main.124,transformers,,,,,,,,,
{ASEM}: Enhancing Empathy in Chatbot through Attention-based Sentiment and Emotion Modeling,"Hamad, Omama  and
Shaban, Khaled  and
Hamdi, Ali",https://aclanthology.org/2024.lrec-main.140,transformer,,,,,,,,,
Beyond Linguistic Cues: Fine-grained Conversational Emotion Recognition via Belief-Desire Modelling,"Xu, Bo  and
Li, Longjiao  and
Luo, Wei  and
Naseriparsa, Mehdi  and
Zhao, Zhehuan  and
Lin, Hongfei  and
Xia, Feng",https://aclanthology.org/2024.lrec-main.207,"Transformer, LSTM, xlnet, transformers, RoBERTa, RoBerta([CLS, bert, rnn, CNN(Kim",,,,,,,,,
{CEPT}: A Contrast-Enhanced Prompt-Tuning Framework for Emotion Recognition in Conversation,"Gao, Qingqing  and
Cao, Jiuxin  and
Cao, Biwei  and
Guan, Xin  and
Liu, Bo",https://aclanthology.org/2024.lrec-main.263,"Transformer, GPT, transformers, GRUs, CNN, RNN, RoBERTa, BERT, XLNet",,,,,,,,,
{CTSM}: Combining Trait and State Emotions for Empathetic Response Model,"Wang, Yufeng  and
Chen, Chao  and
Yang, Zhou  and
Wang, Shuhui  and
Liao, Xiangwen",https://aclanthology.org/2024.lrec-main.376,"Transformer, Transformer-",,,,,,,,,
Curriculum Learning Meets Directed Acyclic Graph for Multimodal Emotion Recognition,"Nguyen, Cam-Van Thi  and
Nguyen, Cao-Bach  and
Le, Duc-Trong  and
Ha, Quang-Thuy",https://aclanthology.org/2024.lrec-main.380,"transformer, LSTM, transformer-, rnn, GRU",,,,,,,,,
Deciphering Emotional Landscapes in the {I}liad: A Novel {F}rench-Annotated Dataset for Emotion Recognition,"Picca, Davide  and
Pavlopoulos, John",https://aclanthology.org/2024.lrec-main.399,"BERT, Transformers",,,,,,1.0,,,
{E}mo{P}rogress: Cumulated Emotion Progression Analysis in Dreams and Customer Service Dialogues,"Wemmer, Eileen  and
Labat, Sofie  and
Klinger, Roman",https://aclanthology.org/2024.lrec-main.503,"bert, RoBERTa",,,,,,,,,
{E}mo{P}rompt-{ECPE}: Emotion Knowledge-aware Prompt-tuning for Emotion-Cause Pair Extraction,"Gu, Xue  and
Zhou, Zhihan  and
Meng, Ziyao  and
Li, Jian  and
Gomes, Tiago  and
Tavares, Adriano  and
Xu, Hao",https://aclanthology.org/2024.lrec-main.504,"BERT, svms, ensemble",,,,,,,,,
"Emotion Analysis in {NLP}: Trends, Gaps and Roadmap for Future Directions","Plaza-del-Arco, Flor Miriam  and
Cercas Curry, Alba A.  and
Cercas Curry, Amanda  and
Hovy, Dirk",https://aclanthology.org/2024.lrec-main.506,"BERT, transformer",,,,,,,,,
Emotion Recognition in Conversation via Dynamic Personality,"Wang, Yan  and
Wang, Bo  and
Zhao, Yachao  and
Zhao, Dongming  and
Jin, Xiaojia  and
Zhang, Jijun  and
He, Ruifang  and
Hou, Yuexian",https://aclanthology.org/2024.lrec-main.507,"BERT+MLP, transformer, roberta, xlnet, transformers, RNNs, BERT, rnn, GRU",,,,,,,,,
{E}mo{T}rans: Emotional Transition-based Model for Emotion Recognition in Conversation,"Jian, Zhongquan  and
Wang, Ante  and
Su, Jinsong  and
Yao, Junfeng  and
Wang, Meihong  and
Wu, Qingqiang",https://aclanthology.org/2024.lrec-main.508,"transformer, LSTM, RoBERTa-, RoBERTa, bert, XLNet, RoBERTa(x, rnn, GRU",,,,,,,,,
Emstremo: Adapting Emotional Support Response with Enhanced Emotion-Strategy Integrated Selection,"Li, Junlin  and
Peng, Bo  and
Hsu, Yu-Yin",https://aclanthology.org/2024.lrec-main.514,"bert, Transformer, roberta",,,,,,,,,
Enhancing Emotion Prediction in News Headlines: Insights from {C}hat{GPT} and {S}eq2{S}eq Models for Free-Text Generation,"Gao, Ge  and
Kim, Jongin  and
Paik, Sejin  and
Novozhilova, Ekaterina  and
Liu, Yi  and
Bonna, Sarah T.  and
Betke, Margrit  and
Wijaya, Derry Tanti",https://aclanthology.org/2024.lrec-main.526,"transformer, Transformers, GPT-4, GPT, svm, RoBERTa, bert",0.85,,,,,,,,
{ESCP}: Enhancing Emotion Recognition in Conversation with Speech and Contextual Prefixes,"Xu, Xiujuan  and
Shi, Xiaoxiao  and
Zhao, Zhehuan  and
Liu, Yu",https://aclanthology.org/2024.lrec-main.555,"transformer, LSTM, RNN, GRUs, BERT, transformer-, Roberta, GRU",,,,,,,,,
Exploring the Emotional Dimension of {F}rench Online Toxic Content,"Dragos, Valentina  and
Battistelli, Delphine  and
Sow, Fatou  and
Etienne, Aline",https://aclanthology.org/2024.lrec-main.608,"BERT, transformers",,,,0.71,,,,,
