Database,Category,Subcategory,Paper Title
scopus,emotion,papers,multimodal music emotion recognition with hierarchical cross-modal attention network
scopus,emotion,papers,emotion recognition based on multimodal physiological signals using spiking feed-forward neural networks
scopus,emotion,papers,fusing pairwise modalities for emotion recognition in conversations
scopus,emotion,papers,deep emotion recognition through upper body movements and facial expression
scopus,emotion,papers,canonical correlation analysis for data fusion in multimodal emotion recognition
scopus,emotion,papers,context-aware multimodal fusion for emotion recognition
scopus,emotion,papers,a hybrid deep learning emotion classification system using multimodal data
scopus,emotion,papers,multimodal transformer augmented fusion for speech emotion recognition
scopus,emotion,papers,accommodating missing modalities in time-continuous multimodal emotion recognition
scopus,emotion,papers,human emotion recognition using deep belief network architecture
scopus,emotion,papers,judging the emotional states of customer service staff in the workplace: a multimodal dataset analysis
scopus,emotion,papers,multimodal prompt learning in emotion recognition using context and audio information
scopus,emotion,papers,incongruity-aware multimodal physiology signals fusion for emotion recognition
scopus,emotion,papers,emotion generation method in online physical education teaching based on data mining of teacher-student interactions
scopus,emotion,papers,mutual correlation attentive factors in dyadic fusion networks for speech emotion recognition
scopus,emotion,papers,a preliminary structured database for multimodal measurements and elicitations of emotions: m2e2mo
scopus,emotion,papers,animated pedagogical agents performing affective gestures extracted from the gemep dataset: can people recognize their emotions?
scopus,emotion,papers,ktfev2: multimodal facial emotion database and its analysis
scopus,emotion,papers,an intra- and inter-emotion transformer-based fusion model with homogeneous and diverse constraints using multi-emotional audiovisual features for depression detection
scopus,emotion,papers,modality encoded latent dataset for emotion recognition
scopus,emotion,papers,modeling emotion in complex stories: the stanford emotional narratives dataset
scopus,emotion,papers,emotion classification with multichannel physiological signals using hybrid feature and adaptive decision fusion
scopus,emotion,papers,attentively-coupled long short-term memory for audio-visual emotion recognition
scopus,emotion,papers,mindlink-eumpy: an open-source python toolbox for multimodal emotion recognition
scopus,emotion,papers,emersk -explainable multimodal emotion recognition with situational knowledge
scopus,emotion,papers,comparative deep network analysis of speech emotion recognition models using data augmentation
scopus,emotion,papers,design of a hierarchy modular neural network and its application in multimodal emotion recognition
scopus,emotion,papers,symbolic graphic emotion design in gift packaging based on multimodal emotion fusion
scopus,emotion,papers,inmdb: indian movie database for emotion analysis
scopus,emotion,papers,a method of multimodal emotion recognition in video learning based on knowledge enhancement
scopus,emotion,papers,deep neural networks for comprehensive multimodal emotion recognition
scopus,emotion,papers,cold fusion: calibrated and ordinal latent distribution fusion for uncertainty-aware multimodal emotion recognition
scopus,emotion,papers,mmm: an emotion and novelty-aware approach for multilingual multimodal misinformation detection
scopus,emotion,papers,hybrid mutimodal fusion for dimensional emotion recognition
scopus,emotion,papers,fusing generative adversarial network and temporal convolutional network for mandarin emotion recognition
scopus,emotion,papers,becmer: a fusion model using bert and cnn for music emotion recognition
scopus,emotion,papers,stacked auto-encoder optimized emotion recognition in multimodal wearable biosensor network
scopus,emotion,papers,convolutional mkl based multimodal emotion recognition and sentiment analysis
scopus,emotion,papers,two birds with one stone: knowledge-embedded temporal convolutional transformer for depression detection and emotion recognition
scopus,emotion,papers,a transformer-based joint-encoding for emotion recognition and sentiment analysis
scopus,emotion,papers,cg-mer: a card game-based multimodal dataset for emotion recognition
scopus,emotion,papers,towards emotion-aided multi-modal dialogue act classification
scopus,emotion,papers,revisiting disentanglement and fusion on modality and context in conversational multimodal emotion recognition
scopus,emotion,papers,a new tool for gestural action recognition to support decisions in emotional framework
scopus,emotion,papers,poster abstract: multimodal emotion recognition by extracting common and modality-specific information
scopus,emotion,papers,attention-based multimodal sentiment analysis and emotion recognition using deep neural networks
scopus,emotion,papers,learning modality-fused representation based on transformer for emotion analysis
scopus,emotion,papers,maximum weight multi-modal information fusion algorithm of electroencephalographs and face images for emotion recognition
scopus,emotion,papers,"multimodal emotion recognition based on facial expressions, speech, and eeg"
scopus,emotion,papers,"the muse 2021 multimodal sentiment analysis challenge: sentiment, emotion, physiological-emotion, and stress"
scopus,emotion,papers,multimodal emotion detection via attention-based fusion of extracted facial and speech features
scopus,emotion,papers,multimodal group emotion recognition in-the-wild using privacy-compliant features
scopus,emotion,papers,human emotion detection with electroencephalography signals and accuracy analysis using feature fusion techniques and a multimodal approach for multiclass classification
scopus,emotion,papers,exploring emotion and sentiment landscape of depression: a multimodal analysis approach
scopus,emotion,papers,objectivity meets subjectivity: a subjective and objective feature fused neural network for emotion recognition
scopus,emotion,papers,a multimodal emotion recognition system using deep convolution neural networks
scopus,emotion,papers,bio-signal based multimodal fusion with bilinear model for emotion recognition
scopus,emotion,papers,deep learning based data fusion methods for multimodal emotion recognition
scopus,emotion,papers,multimodal emotion recognition with temporal and semantic consistency
scopus,emotion,papers,visual-texual emotion analysis with deep coupled video and danmu neural networks
scopus,emotion,papers,exploring cross-modal inconsistency in entities and emotions for multimodal fake news detection
scopus,emotion,papers,attending to emotional narratives
scopus,emotion,papers,multimodal rough set transformer for sentiment analysis and emotion recognition
scopus,emotion,papers,"hybrid quantum-classical neural network for multimodal multitask sarcasm, emotion, and sentiment analysis"
scopus,emotion,papers,multi-head attention fusion networks for multi-modal speech emotion recognition
scopus,emotion,papers,augmenting ecg data with multiple filters for a better emotion recognition system
scopus,emotion,papers,multimodal emotion recognition using heterogeneous ensemble techniques
scopus,emotion,papers,classification of five emotions from eeg and eye movement signals: discrimination ability and stability over time
scopus,emotion,papers,multimodal emotion recognition on ravdess dataset using transfer learning
scopus,emotion,papers,audio-visual emotion recognition with preference learning based on intended and multi-modal perceived labels
scopus,emotion,papers,multimodal emotion recognition using transfer learning on audio and text data
scopus,emotion,papers,multimodal emotion recognition using cross-modal attention and 1d convolutional neural networks
scopus,emotion,papers,deep learning-based late fusion of multimodal information for emotion classification of music video
scopus,emotion,papers,pspn: pseudo-siamese pyramid network for multimodal emotion analysis
scopus,emotion,papers,audio-textual emotion recognition based on improved neural networks
scopus,emotion,papers,a hybrid latent space data fusion method for multimodal emotion recognition
scopus,emotion,papers,classification of patient emotions in nonverbal communication based on machine learning
scopus,emotion,papers,multimodal approach of speech emotion recognition using multi-level multi-head fusion attention-based recurrent neural network
scopus,emotion,papers,mandarin emotion recognition based on weighted fusion strategegy
scopus,emotion,papers,development of facial emotion recognition system using unimodal and multimodal approach
scopus,emotion,papers,efficiency analysis of pre-trained cnn models as feature extractors for video emotion recognition
scopus,emotion,papers,inferring emotion from conversational voice data: a semi-supervised multi-path generative neural network approach
scopus,emotion,papers,multimodal approach: emotion recognition from audio and video modality
scopus,emotion,papers,going beyond closed sets: a multimodal perspective for video emotion analysis
scopus,emotion,papers,emotion recognition by fusing time synchronous and time asynchronous representations
scopus,emotion,papers,multimodal emotion recognition using cross modal audio-video fusion with attention and deep metric learning
scopus,emotion,papers,residual multimodal transformer for expression-eeg fusion continuous emotion recognition
scopus,emotion,papers,electroencephalography based fusion two-dimensional (2d)-convolution neural networks (cnn) model for emotion recognition system
scopus,emotion,papers,functional emotion transformer for eeg-assisted cross-modal emotion recognition
scopus,emotion,papers,"deep, dimensional and multimodal emotion recognition using attention mechanisms"
scopus,emotion,papers,aia-net: adaptive interactive attention network for text-audio emotion recognition
scopus,emotion,papers,emotional analysis through deep learning models
scopus,emotion,papers,memobert: pre-training model with prompt-based learning for multimodal emotion recognition
scopus,emotion,papers,emotion recognition from multimodal physiological signals using a regularized deep fusion of kernel machine
scopus,emotion,papers,multimodal emotion-cause pair extraction in conversations
scopus,emotion,papers,emonets: multimodal deep learning approaches for emotion recognition in video
scopus,emotion,papers,layer-wise fusion with modality independence modeling for multi-modal emotion recognition
scopus,emotion,papers,joint modelling of audio-visual cues using attention mechanisms for emotion recognition
scopus,emotion,papers,emotion recognition on multimodal with deep learning and ensemble
scopus,emotion,papers,music video emotion classification using slow–fast audio–video network and unsupervised feature representation
scopus,emotion,papers,ga2mif: graph and attention based two-stage multi-source information fusion for conversational emotion detection
scopus,emotion,papers,a proposal for multimodal emotion recognition using aural transformers and action units on ravdess dataset
scopus,emotion,papers,muse-ing on the impact of utterance ordering on crowdsourced emotion annotations
scopus,emotion,papers,emotional speech-based personality prediction using npso architecture in deep learning
scopus,emotion,papers,multimodal emotion recognition with transformer-based self supervised feature fusion
scopus,emotion,papers,unimodalities count as perspectives in multimodal emotion annotation
scopus,emotion,papers,multimodal human facial emotion recognition using densenet-161 and image feature stabilization algorithm
scopus,emotion,papers,deep learning for multimodal emotion recognition-attentive residual disconnected rnn
scopus,emotion,papers,inferring emotion from large-scale internet voice data: a semi-supervised curriculum augmentation based deep learning approach
scopus,emotion,papers,unimse: towards unified multimodal sentiment analysis and emotion recognition
scopus,emotion,papers,real-time emotion pre-recognition in conversations with contrastive multi-modal dialogue pre-training
scopus,emotion,papers,semantic-based visual emotion recognition in videos-a transfer learning approach
scopus,emotion,papers,coin: conversational interactive networks for emotion recognition in conversation
scopus,emotion,papers,amuse: adaptive multimodal analysis for speaker emotion recognition in group conversations
scopus,emotion,papers,multimodal emotion recognition with modality-pairwise unsupervised contrastive loss
scopus,emotion,papers,multimodal emotion recognition using acoustic and visual features
scopus,emotion,papers,gaze-enhanced crossmodal embeddings for emotion recognition
scopus,emotion,papers,user emotion status recognition in moocs study environment based on eye tracking and video feature fusion
scopus,emotion,papers,recognition of anger and neutral emotions in speech with different languages
scopus,emotion,papers,"muse 2023 challenge: multimodal prediction of mimicked emotions, cross-cultural humour, and personalised recognition of affects"
scopus,emotion,papers,estimation of facial emotion based on landmark points by applying artificial intelligence and machine learning
scopus,emotion,papers,acoustic and visual geometry descriptor for multi-modal emotion recognition fromvideos
scopus,emotion,papers,multimodal knowledge-enhanced interactive network with mixed contrastive learning for emotion recognition in conversation
scopus,emotion,papers,multimodal emotion analysis based on attmisa
scopus,emotion,papers,fine-tuning the wav2vec2 model for automatic speech emotion recognition system
scopus,emotion,papers,mm-dfn: multimodal dynamic fusion network for emotion recognition in conversations
scopus,emotion,papers,sterm: a multimodal speech emotion recognition model in filipino gaming settings
scopus,emotion,papers,multimodal sentiment and emotion recognition in hyperbolic space
scopus,emotion,papers,an assessment of in-the-wild datasets for multimodal emotion recognition
scopus,emotion,papers,an ensemble learning method for emotion charting using multimodal physiological signals
scopus,emotion,papers,driver emotion recognition with a hybrid attentional multimodal fusion framework
scopus,emotion,papers,semantic-wise guidance for efficient multimodal emotion recognition with missing modalities
scopus,emotion,papers,multimodal fusion of spatial-temporal features for emotion recognition in the wild
scopus,emotion,papers,multimodal emotion recognition based on 2d kernel density estimation for multiple labels fusion
scopus,emotion,papers,fine-grained emotion recognition using brain-heart interplay measurements and explainable convolutional neural networks
scopus,emotion,papers,deep auto-encoders with sequential learning for multimodal dimensional emotion recognition
scopus,emotion,papers,feature selection and multimodal fusion for estimating emotions evoked by movie clips
scopus,emotion,papers,feature and decision level audio-visual data fusion in emotion recognition problem
scopus,emotion,papers,"a multi-task, multi-modal approach for predicting categorical and dimensional emotions"
scopus,emotion,papers,a multimodal hyperlapse method based on video and songs’ emotion alignment
scopus,emotion,papers,mm-emor: multi-modal emotion recognition of social media using concatenated deep learning networks
scopus,emotion,papers,transformer-based self-supervised multimodal representation learning for wearable emotion recognition
scopus,emotion,papers,a novel spatio-temporal convolutional neural framework for multimodal emotion recognition
scopus,emotion,papers,multimodal emotion recognition based on feature fusion and residual connection
scopus,emotion,papers,multi-task learning for jointly detecting depression and emotion
scopus,emotion,papers,multimodal emotion recognition using different fusion techniques
scopus,emotion,papers,simplifying multimodal emotion recognition with single eye movement modality
scopus,emotion,papers,fv2es: a fully end2end multimodal system for fast yet effective video emotion recognition inference
scopus,emotion,papers,interpretable multimodal emotion recognition using hybrid fusion of speech and image data
scopus,emotion,papers,exploring the impact of computer-mediated emotional interactions on human facial and physiological responses
scopus,emotion,papers,multimodal adaptive emotion transformer with flexible modality inputs on a novel dataset with continuous labels
scopus,emotion,papers,a study on discrete action sequences using deep emotional intelligence
scopus,emotion,papers,emotion detection for conversations based on reinforcement learning framework
scopus,emotion,papers,electroencephalogram emotion recognition based on empirical mode decomposition and optimal feature selection
scopus,emotion,papers,different contextual window sizes based rnns for multimodal emotion detection in interactive conversations
scopus,emotion,papers,"multimodal emotion recognition using attention-based model with language, audio, and video modalities"
scopus,emotion,papers,multimodal emotion recognition in noisy environment based on progressive label revision
scopus,emotion,papers,self-supervised utterance order prediction for emotion recognition in conversations
scopus,emotion,papers,multimodal emotion recognition using the symmetric s-elm-lupi paradigm
scopus,emotion,papers,exploring the contextual factors affecting multimodal emotion recognition in videos
scopus,emotion,papers,multimodal physiological signal emotion recognition based on convolutional recurrent neural network
scopus,emotion,papers,a new spatio-temporal neural architecture with bi-lstm for multimodal emotion recognition
scopus,emotion,papers,multimodal system for emotion recognition using eeg and customer review
scopus,emotion,papers,multi-label multimodal emotion recognition with transformer-based fusion and emotion-level representation learning
scopus,emotion,papers,swrr: feature map classifier based on sliding window attention and high-response feature reuse for multimodal emotion recognition
scopus,emotion,papers,exploring the potential of multimodal emotion recognition for hearing-impaired children using physiological signals and facial expressions
scopus,emotion,papers,emotion recognition in conversations using brain and physiological signals
scopus,emotion,papers,a joint cross-attention model for audio-visual fusion in dimensional emotion recognition
scopus,emotion,papers,multimodal emotion recognition with hierarchical memory networks
scopus,emotion,papers,multimodal emotion recognition from eeg signals and facial expressions
scopus,emotion,papers,ontological model for contextual data defining time series for emotion recognition and analysis
scopus,emotion,papers,ecmer: edge-cloud collaborative personalized multimodal emotion recognition framework in the internet of vehicles
scopus,emotion,papers,incomplete cholesky decomposition based kernel cross modal factor analysis for audiovisual continuous dimensional emotion recognition
scopus,emotion,papers,a vr game-based system for multimodal emotion data collection
scopus,emotion,papers,gpt-4v with emotion: a zero-shot benchmark for generalized emotion recognition
scopus,emotion,papers,exploiting eeg signals and audiovisual feature fusion for video emotion recognition
scopus,emotion,papers,"multimodal emotion recognition with deep learning: advancements, challenges, and future directions"
scopus,emotion,papers,deep learning method for selecting effective models and feature groups in emotion recognition using an asian multimodal database
scopus,emotion,papers,affect-predictive models: predicting emotional responses directly to stimuli
scopus,emotion,papers,bimodal emotion recognition based on audio and facial parts using deep convolutional neural networks
scopus,emotion,papers,a comparison of time-based models for multimodal emotion recognition
scopus,emotion,papers,multimodal emotional classification based on meaningful learning
scopus,emotion,papers,multimodal physiological-based emotion recognition
scopus,emotion,papers,multimodal emotion recognition for avec 2016 challenge
scopus,emotion,papers,audio-visual emotion recognition using k-means clustering and spatio-temporal cnn
scopus,emotion,papers,subject independent emotion recognition using eeg and physiological signals – a comparative study
scopus,emotion,papers,multimodal emotion recognition with high-level speech and text features
scopus,emotion,papers,hierarchical extreme puzzle learning machine-based emotion recognition using multimodal physiological signals
scopus,emotion,papers,speech emotion recognition using machine learning
scopus,emotion,papers,crema-d: crowd-sourced emotional multimodal actors dataset
scopus,emotion,papers,how you feelin'? learning emotions and mental states in movie scenes
scopus,emotion,papers,multimodal attention-mechanism for temporal emotion recognition
scopus,emotion,papers,"engagedat-vl: a multimodal engagement dataset comprising of emotional, cognitive, and behavioral cues in virtual learning environment"
scopus,emotion,papers,temporal aggregation of audio-visual modalities for emotion recognition
scopus,emotion,papers,a personality-guided affective brain—computer interface for implementation of emotional intelligence in machines
scopus,emotion,papers,improvement of multimodal emotion recognition based on temporal-aware bi-direction multi-scale network and multi-head attention mechanisms
scopus,emotion,papers,fedcmd: a federated cross-modal knowledge distillation for drivers' emotion recognition
scopus,emotion,papers,improving multi-modal emotion recognition using entropy-based fusion and pruning-based network architecture optimization
scopus,emotion,papers,"me, myself, and ire: effects of automatic transcription quality on emotion, sarcasm, and personality detection"
scopus,emotion,papers,learning mutual correlation in multimodal transformer for speech emotion recognition
scopus,emotion,papers,temporal relation inference network for multimodal speech emotion recognition
scopus,emotion,papers,multimodal and temporal perception of audio-visual cues for emotion recognition
scopus,emotion,papers,facial video-based non-contact emotion recognition: a multi-view features expression and fusion method
scopus,emotion,papers,deep learning based multimodal emotion recognition using model-level fusion of audio–visual modalities
scopus,emotion,papers,icdar 2021 competition on multimodal emotion recognition on comics scenes
scopus,emotion,papers,smin: semi-supervised multi-modal interaction network for conversational emotion recognition
scopus,emotion,papers,transformer-based self-supervised representation learning for emotion recognition using bio-signal feature fusion
scopus,emotion,papers,mandarin emotion recognition based on weighted fusion strategy
scopus,emotion,papers,fusion with hierarchical graphs for multimodal emotion recognition
scopus,emotion,papers,evaluating significant features in context-aware multimodal emotion recognition with xai methods
scopus,emotion,papers,a multimodal non-intrusive stress monitoring from the pleasure-arousal emotional dimensions
scopus,emotion,papers,emotion recognition from embedded bodily expressions and speech during dyadic interactions
scopus,emotion,papers,emoticon: context-aware multimodal emotion recognition using frege's principle
scopus,emotion,papers,"emotion detection using machine learning, ecg signals and facial features"
scopus,emotion,papers,multi-level context extraction and attention-based contextual inter-modal fusion for multimodal sentiment analysis and emotion classification
scopus,emotion,papers,dast: a domain-adaptive learning combining spatio-temporal dynamic attention for electroencephalography emotion recognition
scopus,emotion,papers,mda: multimodal data augmentation framework for boosting performance on sentiment/emotion classification tasks
scopus,emotion,papers,semantic representation is superior to syntactic representation for emotion classification using graph neural networks
scopus,emotion,papers,the 2nd korean emotion recognition challenge: methods and results
scopus,emotion,papers,a novel signal to image transformation and feature level fusion for multimodal emotion recognition
scopus,emotion,papers,"empowering facial analytics: a unified approach for emotion, age, gender and object identification"
scopus,emotion,papers,emotion recognition from unimodal to multimodal analysis: a review
scopus,emotion,papers,stocastic multimodal fusion method for classifying emotions with attention mechanism using deep learning
scopus,emotion,papers,a multi-level circulant cross-modal transformer for multimodal speech emotion recognition
scopus,emotion,papers,real-time human-music emotional interaction based on multimodal analysis
scopus,emotion,papers,negative emotion recognition using multimodal physiological signals for advanced driver assistance systems
scopus,emotion,papers,a two-stage multimodal emotion recognition model based on graph contrastive learning
scopus,emotion,papers,a cross-subject and cross-modal model for multimodal emotion recognition
scopus,emotion,papers,research on music emotional expression based on reinforcement learning and multimodal information
scopus,emotion,papers,multimodal emotion recognition using feature fusion: an llm-based approach
scopus,emotion,papers,two stage emotion recognition using frame-level and video-level features
scopus,emotion,papers,improving human emotion recognition from emotive videos using geometric data augmentation
scopus,emotion,papers,curriculum learning meets directed acyclic graph for multimodal emotion recognition
scopus,emotion,papers,a customizable framework for multimodal emotion recognition using ensemble of deep neural network models
scopus,emotion,papers,pain versus affect? an investigation in the relationship between observed emotional states and self-reported pain
scopus,emotion,papers,a multimodal driver emotion recognition algorithm based on the audio and video signals in internet of vehicles platform
scopus,emotion,papers,improving mental health through multimodal emotion detection from speech and text data using long-short term memory
scopus,emotion,papers,a multitask multimodal ensemble model for sentiment- and emotion-aided tweet act classification
scopus,emotion,papers,modality-collaborative transformer with hybrid feature reconstruction for robust emotion recognition
scopus,emotion,papers,real-time multi-cnn-based emotion recognition system for evaluating museum visitors’ satisfaction
scopus,emotion,papers,research on emotion recognition based on multimodal fusion
scopus,emotion,papers,matching pursuit algorithm for enhancing eeg signal quality and increasing the accuracy and efficiency of emotion recognition
scopus,emotion,papers,music emotion recognition based on segment-level two-stage learning
scopus,emotion,papers,emotional intelligence-based music recommendation system using hybrid deep neural network
scopus,emotion,papers,dnn-based emotion recognition based on bottleneck acoustic features and lexical features
scopus,emotion,papers,a sentiment and emotion aware multimodal multiparty humor recognition in multilingual conversational setting
scopus,emotion,papers,dbt: multimodal emotion recognition based on dual-branch transformer
scopus,emotion,papers,knowledge-aware bayesian co-attention for multimodal emotion recognition
scopus,emotion,papers,multimodal analysis of physiological signals for wearable-based emotion recognition using machine learning
scopus,emotion,papers,wellness contents recommendation based on human emotional and health status using em
scopus,emotion,papers,end-to-end multimodal emotion recognition based on facial expressions and remote photoplethysmography signals
scopus,emotion,papers,"emoji, sentiment and emotion aided cyberbullying detection in hinglish"
scopus,emotion,papers,incongruity-aware cross-modal attention for audio-visual fusion in dimensional emotion recognition
scopus,emotion,papers,part of speech weighted multi-modal emotion analysis model with dynamic adjustment of semantic representation
scopus,emotion,papers,how does a social robot analyze emotions?
scopus,emotion,papers,comparison and performance evaluation of fusion mechanism for audio–video based multimodal emotion recognition
scopus,emotion,papers,multi-modal network based on spatio-temporal and attention for emotion recognition
scopus,emotion,papers,fusion based emotion recognition system
scopus,emotion,papers,a novel long short-term memory network model for multimodal music emotion analysis in affective computing
scopus,emotion,papers,synch-graph: multisensory emotion recognition through neural synchrony via graph convolutional networks
scopus,emotion,papers,attention-based multi-modal sentiment analysis and emotion detection in conversation using rnn
scopus,emotion,papers,multimodal approach for emotion recognition based on simulated flight experiments
scopus,emotion,papers,mec 2016: the multimodal emotion recognition challenge of ccpr 2016
scopus,emotion,papers,multi-attention module for dynamic facial emotion recognition
scopus,emotion,papers,"multivariate, multi-frequency and multimodal: rethinking graph neural networks for emotion recognition in conversation"
scopus,emotion,papers,a multi-message passing framework based on heterogeneous graphs in conversational emotion recognition
scopus,emotion,papers,introducing calmed: multimodal annotated dataset for emotion detection in children with autism
scopus,emotion,papers,a bimodal network based on audio–text-interactional-attention with arcface loss for speech emotion recognition
scopus,emotion,papers,hybrid fusion based approach for multimodal emotion recognition with insufficient labeled data
scopus,emotion,papers,real-time multimodal emotion recognition in conversation for multi-party interactions
scopus,emotion,papers,rw-mmdcg:muti-modal via rolling-window directed graph network for conversational emotion recognition
scopus,emotion,papers,emotion recognition using multimodalities
scopus,emotion,papers,muser: multimodal stress detection using emotion recognition as an auxiliary task
scopus,emotion,papers,summarization of videos from online events based on multimodal emotion recognition
scopus,emotion,papers,learning emotion representations from verbal and nonverbal communication
scopus,emotion,papers,improving speech emotion recognition using self-supervised learning with domain-specific audiovisual tasks
scopus,emotion,papers,transformer-based multimodal emotional perception for dynamic facial expression recognition in the wild
scopus,emotion,papers,multi-level fusion of wav2vec 2.0 and bert for multimodal emotion recognition
scopus,emotion,papers,novel multimodal emotion detection method using electroencephalogram and electrocardiogram signals
scopus,emotion,papers,adaptive graph learning for multimodal conversational emotion detection
scopus,emotion,papers,representation learning through cross-modal conditional teacher-student training for speech emotion recognition
scopus,emotion,papers,multimodal emotion recognition fusion analysis adapting bert with heterogeneous feature unification
scopus,emotion,papers,emotion recognition using multimodal residual lstm network
scopus,emotion,papers,emotion recognition using multimodal deep learning
scopus,emotion,papers,multi-feature based emotion recognition for video clips
scopus,emotion,papers,multimodal speech emotion recognition based on multi-scale mfccs and multi-view attention mechanism
scopus,emotion,papers,an improved multimodal dimension emotion recognition based on different fusion methods
scopus,emotion,papers,integration of facial and speech expressions for multimodal emotional recognition
scopus,emotion,papers,mt-tcct: multi-task learning for multimodal emotion recognition
scopus,emotion,papers,robust speech emotion recognition system through novel er-cnn and spectral features
scopus,emotion,papers,umeme: university of michigan emotional mcgurk effect data set
scopus,emotion,papers,a publicly available multimodal emotional dataset triggered by both videos and odors
